,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,8353.01,12855.570600000001,18080.32,00100011111101111010100100010110000011011111111101100100110100101110010111001010
1,1,6270.46,10951.5118,15598.02,10110011100001000101100000001100000010100111010100011011110110011000010111000101
2,2,5657.6,8971.236700000001,13435.14,10110010100001010111110000011110000010111101000110011011010110011111010110000001
3,3,5282.14,7917.2285999999995,11969.67,01110001001001100100100110001110000000111111011101000001111010111111000000001110
4,4,4590.09,7351.337599999999,10797.89,00110000100101110110111000001110000000111101000110001011010000011111010100000001
5,5,3055.89,6164.0390000000025,8912.57,10000001000101100110110000001011000000011101010000010011110110001100010100001000
6,6,2778.15,5086.259000000002,7914.46,10001001000101100110100000001111000000011101010010100011110110001100010100001001
7,7,2302.79,4367.422599999999,7861.73,00100001000100100110110000100010000000011101000000010011110110001111010010001100
8,8,1668.91,3687.5541999999987,6433.05,00101010000101100110110000000101000010111101000001110011110110101100010000001001
9,9,1597.83,3160.6570000000006,5589.87,00101000000100100110110000100110000000011101000001000011110110001111010010000000
10,10,670.05,2769.406,4745.68,00100010111101100110110000100101000010111101010001100011110110001111010000000101
11,11,801.91,2268.627200000001,5029.89,00001011110101100110110010100101000010110101010001000011110110101101010000001000
12,12,750.23,1938.3739999999996,4634.22,01101001100101100110100000100100000010111111000001010011110110101111011010111001
13,13,532.65,1950.0139999999994,3894.84,00101011100101100110100000100100000010111111010000000011110110101111011010000001
14,14,476.74,1687.2592999999993,3741.69,00001011100101100110100000101100000010111111010001010011110110101111011010100001
15,15,394.16,1462.479,3929.77,00101011110101100110100000101100000010111111010001010011110110101111010010100001
16,16,222.75,1242.7629000000004,3682.18,10001001100101100110110010100100000010111111010001100011110100101111010010011010
17,17,230.29,1187.7703999999997,3123.27,10001001101101100110110010100100000010111111010001100011110110101111010010010000
18,18,189.1,1109.7704999999996,3391.96,00001001101101100110110010100100000010111111010001000011110110101111010000111000
19,19,139.63,1040.5036000000002,3348.26,00101001111101100110100010100100000010111111010000000011110100101111010010101001
20,20,76.66,926.1144000000002,3064.55,00001001110101100110110010101100000010111111010000000011110110101111010000011010
21,21,77.76,987.0877999999998,3205.18,00001001111101100110100010100100000010111111010000000011110110101111010010111000
22,22,70.58,1021.4825999999998,3279.3,00001001110101100110110010101100000010111111010000000011110110101111010010011010
23,23,46.92,915.054,3827.76,00001001110101100110110010100100000010111111010001000011110110001111010010011010
24,24,35.97,792.7854999999997,3873.0,00001001110101100110110010100100000010111111010001010011110110101111010010001110
25,25,20.58,823.4356000000001,3052.17,00001001111101100110110010100100000010111111010001010011110110101111010010001110
26,26,20.58,786.0887999999999,3442.96,00001001111101100110110010100100000010111111010001010011110110101111010010001110
27,27,26.66,791.4506,2951.01,00001001111101100110110010100100000010111111010001010011110110001111010010001110
28,28,26.66,754.5426000000003,2710.1,00001001111101100110110010100100000010111111010001010011110110001111010010001110
29,29,15.39,651.3747,2512.13,00001001110101100110110010100100000010111111010001110011110100101111010010001010
30,30,7.64,763.8747999999999,2613.7,00001001111101100110110010100100000010111111010001000011110100101111010010001010
31,31,7.64,836.0653999999998,2812.79,00001001111101100110110010100100000010111111010001000011110100101111010010001010
32,32,2.0,892.1264999999999,3327.35,00001001111101100110110010100100000010111111010001110011110100101111010010001011
33,33,6.08,790.1170000000003,3309.25,00001001111101100110110010100100000010111111010001110011110100001111010010001010
34,34,3.65,824.8694000000003,3519.36,00001011111101100110110010100100000010111111010001110011110100101111010010001010
35,35,2.0,793.6851000000004,2585.27,00001001111101100110110010100100000010111111010001110011110100101111010010001011
36,36,2.0,808.8415999999996,3123.34,00001001111101100110110010100100000010111111010001110011110100101111010010001011
37,37,2.0,852.1509,2413.72,00001001111101100110110010100100000010111111010001110011110100101111010010001011
38,38,2.0,825.0787000000001,2679.87,00001001111101100110110010100100000010111111010001110011110100101111010010001011
39,39,2.0,679.9134999999999,2566.86,00001001111101100110110010100100000010111111010001110011110100101111010010001011
40,40,2.0,792.1976,2909.95,00001001111101100110110010100100000010111111010001110011110100101111010010001011
