,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,7554.29,12899.635899999992,17423.65,00111011001101010010010000001110000010110111110100110010100100100111101011110000
1,1,6822.88,10754.657,15442.62,11001011111110101010100110101101001111110001000011000011100010001100011010111101
2,2,5053.78,9340.0629,14796.11,11001100111101100110100000011111000000011101000000010011111010101100001111010100
3,3,5067.55,7897.938500000001,10763.43,00110000001100100010111000000111001110011001010000000011110000101110000110101001
4,4,3354.33,6625.310799999999,10252.44,00110000001101110010110000001110000000011101010000001011110110101111000000100001
5,5,2573.65,5388.5205000000005,9278.4,00110000111101100010110010001110000000011101010000001011100100001110000011000111
6,6,2615.11,4494.206300000002,7347.06,00110110111101100110100000000101000000011101010000000011110100001110000000001111
7,7,1946.95,4015.007699999998,6167.85,00001011010101100100010010000110000010111101000000110011110100001110010000110100
8,8,1673.35,3497.547100000002,5487.02,10010001110101100110101010000111000010011101000001000011110100001110010010000101
9,9,1188.61,2866.4391000000005,5901.98,10010011111101100110110010000110000010011101010001001011110100001110010000100101
10,10,1016.91,2549.3142999999995,4612.42,00010000111101100110100000000100000010111101000001000011110100001110010010100110
11,11,846.8,2308.9382000000005,4415.47,10100001111101100110110000000100000100111101010000000011110100001111010010100101
12,12,875.71,1942.6428999999998,3837.88,10100001111101100110110000000110000100111101010000000011110100001111010010100100
13,13,584.33,1920.4493000000002,3775.54,00000000111101100110100010000110000010111101000001000011110100001111011010100111
14,14,294.12,1649.1991000000003,3491.54,00001010111101100110110010100101000010111101010001000011110100101111010010100110
15,15,368.61,1644.0338999999992,4062.5,00000000111101100110110010100101000010111101010001000011110100101111010010100100
16,16,374.19,1492.5324000000003,4225.84,00000010111101100110110010100111000010111111010001000011110100101111010010100101
17,17,126.01,1428.5894,3793.67,00001010111101100110110010100100000010111101010000000011110100001111011010100111
18,18,83.29,1164.1959999999997,2891.35,00001010111101100110110010100100000010111111010001000011110100001111010010100101
19,19,39.49,1116.8500999999999,3900.28,00001011111101100110110010100100000010111111010001000011110100001111010010100101
20,20,39.49,989.8718000000001,2916.75,00001011111101100110110010100100000010111111010001000011110100001111010010100101
21,21,38.54,995.7031,2762.51,00001011111101100110110010100100000010111111010000000011110100001111010010000101
22,22,110.22,999.8507000000004,3150.56,00001011111101100110100010100100000010111101010001000011110100101111011010100111
23,23,71.55,927.1988,3315.85,00001011111101100110100010100100000010111111010001000011110100101111010010111101
24,24,55.19,958.7620000000005,2553.84,00001001110101100110110010100100000010111111010001100011110100101111011010100101
25,25,74.7,945.3925999999999,2740.24,00001011110101100110110010100100000010111101010001100011110100101111011010101011
26,26,44.53,780.4635999999998,2229.24,00001011111101100110110010100100000010111111010001100011110100001111011010101101
27,27,46.22,866.5951000000002,4094.9,00001011111101100110110010100100000010111111010001000011110100101111011010111101
28,28,46.22,870.7075,3687.69,00001011111101100110110010100100000010111111010001000011110100101111011010111101
29,29,42.5,775.9612999999999,2598.59,00001011111101100110110010100100000010111111010000100011110100101111011010011101
30,30,31.04,786.5931000000002,2479.83,00001001111101100110110010100100000010111111010000100011110100101111010010010101
31,31,21.87,882.7562999999994,3498.58,00001001111101100110110010100100000010111111010001100011110100101111010010010111
32,32,11.87,825.8965,3036.08,00001001111101100110110010100100000010111111010001100011110100101111010010001111
33,33,6.87,808.8479999999998,3348.56,00001001111101100110110010100100000010111111010001100011110100101111010010001011
34,34,11.87,798.1930999999998,3195.57,00001001111101100110110010100100000010111111010001100011110100101111010010011011
35,35,15.92,766.6666999999995,2783.69,00001001111101100110110010100100000010111111010000100011110100101111010010000011
36,36,10.92,855.6393999999997,2799.14,00001001111101100110110010100100000010111111010000100011110100101111010010001011
37,37,6.08,704.1829000000002,2815.39,00001001111101100110110010100100000010111111010001110011110100001111010010001010
38,38,6.08,825.1134,2475.83,00001001111101100110110010100100000010111111010001110011110100001111010010001010
39,39,0.0,824.6039999999999,2798.98,00001001111101100110110010100100000010111111010001110011110100101111010010001010
