,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,8910.11,12911.596899999997,19138.81,00101111101100001101110100010100001110010010001101011011100110111101011011101110
1,1,7155.24,11447.137100000007,14808.9,00010001011101101110100010101000000101011101001001110110011110111111100001000110
2,2,5680.94,10134.4331,14498.57,10011011111101101110100110010100001010111101100010100010100110011011011010101101
3,3,5882.77,8798.926000000001,12104.26,11100001100111100010100000010111000110010101010100101001110111101011011110111111
4,4,4194.76,7596.143799999998,11240.23,00001001110101100110111000010101001000111001010000001010100100001111001100101001
5,5,3481.63,6466.0257999999985,9339.17,00101001110101100110101010010101000100111001010000100010110100011111000011110011
6,6,2364.66,5442.4833,7987.88,10101001110101100100100010011100000000111101010100100011110101101111001010101011
7,7,2465.59,4486.3391,7643.59,01000001111101100010100110010100000100111101010001000011110100111111010011100011
8,8,1661.53,3806.196599999998,6250.53,00101111110101100110100010100101000110111101010001100011110110111111010100111101
9,9,1189.76,3004.9968999999996,4813.8,00001001110101100100100010100100000110111001010000000011110100101111010011110001
10,10,587.72,2541.059099999999,4468.86,00001001110101100110110010100101000110111101011000000011110110101111010010110101
11,11,649.12,2155.17,5089.81,00001001100101100110100010100100000110111111010000100011110110101101010000111100
12,12,422.87,1941.7915999999989,4824.58,00101001110101100110100010100100000010111101010000110011110110011111010000110011
13,13,119.01,1609.9850000000004,3621.21,10001011110101100110110010100100000010111111010000100011110110101111010000111101
14,14,201.01,1286.4697,3416.41,00001011110101100110110010100100000110111101010000100011110110101111010000111101
15,15,89.96,1143.3467,3338.18,00001011110101100110110010100100000010111101010000110011110110101111010000110011
16,16,146.75,1001.0541000000001,2892.1,00101011110101100110110010100100000010111101010000110011110100101111010010100110
17,17,97.73,1228.1309,3797.62,00001011110101100110110010100100000010111101010000010011110110101111010000110111
18,18,80.65,1232.3851,3876.39,00001011111101100110110010100100000010111101010000110011110110001111010000110011
19,19,101.16,1098.6321999999998,3160.03,00001011110101100110110010100100000010111101010000110011110110001111010000110001
20,20,41.59,1005.4852000000002,3370.69,00001011111101100110110010100100000010111111010000110011110110001111010010110010
21,21,32.54,866.5020000000003,3090.94,00001011111101100110110010100100000010111111010001110011110110001111010010100010
22,22,45.68,794.5930999999998,3131.8,00001011111101100110110010100100000010111101010000110011110100101111010010011011
23,23,55.83,908.3187999999998,2602.8,00001011111101100110110010100100000010111101010001110011110100001111010010100000
24,24,36.2,827.7569000000002,2205.68,00001011110101100110110010100100000010111111010001110011110100001111010000101010
25,25,27.82,877.7131999999998,3098.13,00001011111101100110110010100100000010111111010000110011110100101111010010110000
26,26,14.73,907.8969000000003,3497.02,00001011111101100110110010100100000010111111010001110011110100101111010000101010
27,27,14.05,774.5258000000006,3631.38,00001001111101100110110010100100000010111111010000110011110100101111010010100010
28,28,8.65,753.5622000000003,3793.89,00001011111101100110110010100100000010111111010001110011110100101111010010101010
29,29,10.0,904.2689,2852.27,00001001111101100110110010100100000010111111010001110011110100101111010010111010
30,30,6.42,827.0375999999997,3214.68,00001011111101100110110010100100000010111111010001010011110100101111010010001010
31,31,12.7,887.8935000000002,2631.11,00001011111101100110110010100100000010111111010000110011110100101111010010101010
32,32,12.7,718.9553999999999,3536.22,00001011111101100110110010100100000010111111010000110011110100101111010010000010
33,33,8.65,738.3486,2751.92,00001011111101100110110010100100000010111111010001110011110100101111010010000010
34,34,7.7,704.2145999999999,2274.09,00001011111101100110110010100100000010111111010000110011110100101111010010001010
35,35,3.65,694.7200000000001,2645.16,00001011111101100110110010100100000010111111010001110011110100101111010010001010
36,36,3.65,919.6255000000002,3379.93,00001011111101100110110010100100000010111111010001110011110100101111010010001010
37,37,7.7,801.7502999999998,2880.84,00001011111101100110110010100100000010111111010000110011110100101111010010001010
38,38,2.0,752.9964000000003,2697.66,00001001111101100110110010100100000010111111010001110011110100101111010010001011
39,39,0.0,711.565,2781.88,00001001111101100110110010100100000010111111010001110011110100101111010010001010
