,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,9841.52,12965.58,18381.44,01100011100101100100111000111100010011001101000010011100011000010011011001000100
1,1,7088.96,11360.990099999997,15074.14,10011010101101100110011010000111001010111011010001110110001101111011001010010011
2,2,5857.81,9801.332499999999,14542.65,00111010110110100110110010001100100001011101001000110011111100000011010000010101
3,3,5373.65,8240.013000000004,11885.01,00111011100101100110111010001111100010111111011001011001010000000011010110010011
4,4,4041.57,7031.543900000002,10034.74,00111000100100100100011010101100000110111011010000110001100010101111011010010011
5,5,2691.24,5518.833199999998,9534.29,00111001100101100100011010001100000110111111010000110011110010001111010010010011
6,6,2105.91,4180.442999999998,7089.08,00111001110101100100111010001100000110111111010000110011110010001111000000001111
7,7,1471.16,3195.1399000000024,5002.0,00111000110101100110111010001101000110111111001001110011110110001111011000110111
8,8,1033.14,2462.4316000000003,4324.05,00101011110101100100110010001100000110111111001000110011110100001111010010010000
9,9,632.19,1678.2003999999993,3327.84,00101010110101100110110010001100000110111101010001010011100110101111010010111110
10,10,589.39,1359.4647000000007,2453.98,00111000111101100110110010001100000110111111010000110011110100001111010010110011
11,11,412.81,1176.4555999999998,3215.26,00101000101101100110110010101100000110111111010000110011110100001111010010000011
12,12,239.95,784.8861000000004,1965.18,00101001110101100110110010101100000110111111010000110011110100001111010010111010
13,13,237.37,667.1334000000003,2379.67,00101001111101100110110010101100000110111111010000110011110100001111011010111010
14,14,224.24,491.82129999999984,1820.9,00101001111101100110110010101100000110111111010001110011110100101111011010101011
15,15,219.24,526.2043,1992.04,00101001111101100110110010101100000110111111010001110011110100101111011010001011
16,16,211.43,538.8208,1784.3,00101001111101100110110010101100000110111111010001110011110100101111010010101011
17,17,206.43,533.2926000000001,2040.74,00101001111101100110110010101100000110111111010001110011110100101111010010001011
18,18,204.43,538.2294,1757.84,00101001111101100110110010101100000110111111010001110011110100101111010010001010
19,19,204.43,514.6726000000001,1740.66,00101001111101100110110010101100000110111111010001110011110100101111010010001010
20,20,204.43,492.5150000000001,2127.88,00101001111101100110110010101100000110111111010001110011110100101111010010001010
21,21,204.43,469.0716000000001,1618.88,00101001111101100110110010101100000110111111010001110011110100101111010010001010
22,22,204.43,611.7978,2035.03,00101001111101100110110010101100000110111111010001110011110100101111010010001010
23,23,204.43,535.8589000000001,1769.14,00101001111101100110110010101100000110111111010001110011110100101111010010001010
24,24,204.43,467.5888000000002,2093.69,00101001111101100110110010101100000110111111010001110011110100101111010010001010
25,25,204.43,494.3105000000001,1605.23,00101001111101100110110010101100000110111111010001110011110100101111010010001010
26,26,204.43,506.9018000000001,2093.27,00101001111101100110110010101100000110111111010001110011110100101111010010001010
27,27,204.43,487.6800000000001,1563.68,00101001111101100110110010101100000110111111010001110011110100101111010010001010
28,28,204.43,524.2506000000001,2634.46,00101001111101100110110010101100000110111111010001110011110100101111010010001010
29,29,204.43,503.9780000000002,1600.65,00101001111101100110110010101100000110111111010001110011110100101111010010001010
30,30,204.43,583.1218000000003,2146.62,00101001111101100110110010101100000110111111010001110011110100101111010010001010
31,31,204.43,527.6781000000001,1736.55,00101001111101100110110010101100000110111111010001110011110100101111010010001010
32,32,204.43,517.0031000000002,2245.85,00101001111101100110110010101100000110111111010001110011110100101111010010001010
33,33,204.43,540.4012000000001,1659.99,00101001111101100110110010101100000110111111010001110011110100101111010010001010
34,34,204.43,474.8447000000001,1599.92,00101001111101100110110010101100000110111111010001110011110100101111010010001010
35,35,204.43,500.8152000000002,1894.13,00101001111101100110110010101100000110111111010001110011110100101111010010001010
36,36,204.43,501.68110000000024,1645.14,00101001111101100110110010101100000110111111010001110011110100101111010010001010
37,37,204.43,479.4777,1957.81,00101001111101100110110010101100000110111111010001110011110100101111010010001010
38,38,204.43,536.3357,1479.97,00101001111101100110110010101100000110111111010001110011110100101111010010001010
39,39,204.43,459.86740000000003,1361.51,00101001111101100110110010101100000110111111010001110011110100101111010010001010
40,40,204.43,481.8122000000001,1881.5,00101001111101100110110010101100000110111111010001110011110100101111010010001010
