,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,8583.91,12839.519966666665,19116.45,00111101100010100010101010101110100010110101101111111010001100111111010011010101
1,1,6733.12,10978.080666666663,15300.29,00111101110100000011101010101110000010111001000001111010011100001011010101011111
2,2,5836.64,9573.835366666672,13522.99,01111010101100100110110101000111000110110111010000011000110110111001010010011101
3,3,4100.26,8154.662300000003,12094.81,11110010100101100110110100101000000100110111010100001011110110111101010110011100
4,4,3236.26,6651.276966666668,10109.94,00000000011001110110100010000100010000111111010001001011110100101010010000100000
5,5,1815.57,5044.356866666669,8401.85,11011010010101100110100000000100000010011111010001000011110110001101011001110101
6,6,1310.66,3925.6018333333336,6814.23,00010000111101100110110000001101000100111101011001110011110100001111010000111001
7,7,972.82,2793.478300000002,5375.68,10010000111101100110110000000111000010111101010000100011110100001111010000110010
8,8,615.61,2008.5312666666678,4220.47,10101000111101100110100000100110000000111101010001110011110100101111011010110101
9,9,332.31,1437.0351666666663,3929.41,10001001111101100110110010101110000010111101000001110011110110101111011010100000
10,10,279.57,1127.4998666666659,2886.59,10001000111101100110100010100100000110111111010001000011110100101111011000110110
11,11,101.37,799.9989333333335,2546.93,10001011111101100110110010101100000010111111010001100011110100101111010010100001
12,12,79.25,684.4352999999996,2153.67,00001011111101100110110010100100000010111101010000000011110100101111011010110000
13,13,30.63,553.4457000000003,2167.24,00001011111101100110110010100100000010111111010000110011110100101111011010101000
14,14,26.98,448.19219999999984,2302.39,00001001111101100110110010100100000010111111010000110011110100101111011010101000
15,15,22.64,380.0610000000004,1984.92,00001001111101100110110010100100000010111111010001000011110100101111010010110010
16,16,12.89,351.0755999999999,2262.84,00001001111101100110110010100100000010111111010001010011110100101111010010101000
17,17,5.0,335.40413333333316,1785.47,00001001111101100110110010100100000010111111010001110011110100101111010010101010
18,18,5.0,323.0170666666668,1788.59,00001001111101100110110010100100000010111111010001110011110100101111010010101010
19,19,0.0,336.2869333333334,2318.0,00001001111101100110110010100100000010111111010001110011110100101111010010001010
