,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,6134.94,12734.3253,18248.28,01101110110000110111111010000100000010011001010001101011101000101101010001010010
1,1,3450.22,6269.298699999997,8743.8,01001100110100100111110010100100000010010011010000100011100100101101010001010000
2,2,2654.3,3906.7398999999964,6605.4,00001100110101100111110010100100000010010101010000100011100100101101010001010000
3,3,1940.17,2666.224499999998,3398.46,00101100110101100110110010100100000010010111000000100011110100101101010001011000
4,4,1708.54,1971.262600000002,2424.25,00001100110101100110110010100100000010010111010000100011110100101101010001011000
5,5,1708.54,1711.2259999999994,1784.74,00001100110101100110110010100100000010010111010000100011110100101101010001011000
