,0
0,106.472546275
1,89.605910985
2,146.449150174
3,108.763157168
4,99.1292050606
5,72.3047927354
6,105.002609091
7,87.8090442205
8,77.6910066925
9,81.9919029565
10,67.0758546962
11,104.055734532
12,87.6062261937
13,84.2883863516
14,101.704012917
15,137.28055627
16,82.0358143444
17,111.074803044
18,76.5907969212
19,124.898979702
