,0
0,445.297327435
1,629.351943581
2,847.481654657
3,290.156399747
4,554.793014611
5,1362.98394127
6,975.620360194
7,1167.21734106
8,239.160326159
9,712.060240132
10,489.378647709
11,996.669200248
12,219.827334714
13,810.332029598
14,1036.65096575
15,721.123179856
16,986.433108618
17,671.156413051
18,445.931197096
19,405.558544682
