,Epoch,Fitness Value,Individual
0,0,5496.53,00110001001000100010101000100000001010111101010001000111100000101100001010011010
1,1,4113.1,00111001011101100110101000101000000010111111010001001111110000001000011010011010
2,2,3149.89,01110011011101100110100000101110000010111101011001001111100101001011011000011110
3,3,2726.11,01011011011101100110100000101110000010111111011001001111100110001010011010011010
4,4,2029.32,01011011011101100110100000101100000010111111011001001111100100101110011010011010
5,5,1240.74,01011011011101100110100000101110000010111111011001001011110100101110011000011010
6,6,982.85,01001011011101100110100000100100000010111111010001001011100100001110011010010010
7,7,617.15,01001011111101100110100000100100000010111111010001000011100100001110011010010010
8,8,421.24,01001011111101100110100010100100000010111111010001000011100100001110011010110010
9,9,287.88,01001011111101100110100010100100000010111111010001000011110100001110011010110010
10,10,148.44,01001011111101100110100010100100000010111111010001000011110100101111011010110010
11,11,110.3,01001011111101100110110010100100000010111111010001000011110100101111011010110010
12,12,39.1,00001011111101100110110010100100000010111111010001000011110100101111011010110010
13,13,29.23,00001011111101100110110010100100000010111111010001010011110100101111011010010010
14,14,29.23,00001011111101100110110010100100000010111111010001010011110100101111011010010010
15,15,24.23,00001011111101100110110010100100000010111111010001010011110100101111011010011010
16,16,19.23,00001011111101100110110010100100000010111111010001010011110100101111011010001010
17,17,6.42,00001011111101100110110010100100000010111111010001010011110100101111010010001010
18,18,6.42,00001011111101100110110010100100000010111111010001010011110100101111010010001010
19,19,2.77,00001001111101100110110010100100000010111111010001010011110100101111010010001010
20,20,2.77,00001001111101100110110010100100000010111111010001010011110100101111010010001010
21,21,2.77,00001001111101100110110010100100000010111111010001010011110100101111010010001010
22,22,2.77,00001001111101100110110010100100000010111111010001010011110100101111010010001010
23,23,2.77,00001001111101100110110010100100000010111111010001010011110100101111010010001010
24,24,2.77,00001001111101100110110010100100000010111111010001010011110100101111010010001010
25,25,0.0,00001001111101100110110010100100000010111111010001110011110100101111010010001010
