,Epoch,Fitness Value,Individual
0,0,5553.62,11101000111001111110110110111110001010111111011010110010110010001101010000010111
1,1,3608.86,11101001111101101110110010111110001010111111011010111010110110001100010010010111
2,2,2860.23,11101000111001100110110110111110000010111111011011110011110110011101010000110011
3,3,1596.05,01101010111101100110110010111110000010111111011011110011110110001101010000110111
4,4,1237.08,01101010111101100110110010101110000010111111011011110011110110001101011000110111
5,5,1022.29,11101010011101100110110010101110000010111111011000110011110110001101010000110111
6,6,944.42,01101000011101100110110010101100000010111111011000110011110110001101011010110111
7,7,632.46,01101000011101100110110010101100000010111111011000110011110110001111010010110111
8,8,627.46,01101000011101100110110010101100000010111111011000110011110110001111010010111111
9,9,556.26,00101000011101100110110010101100000010111111011000110011110110001111010010100111
10,10,360.64,00101000011101100110110010101100000010111111010000110011110110001111010010100111
11,11,182.11,00101000111101100110110010101100000010111111010000110011110110001111010010101111
12,12,176.03,00101000111101100110110010101100000010111111010000110011110110101111010010101111
13,13,138.31,00101001111101100110110010101100000010111111010000110011110110001111010010101111
14,14,60.63,00001001111101100110110010101100000010111111010000110011110110001111010010101111
15,15,41.74,00001001111101100110110010101100000010111111010000110011110100101111010010101111
16,16,39.74,00001001111101100110110010101100000010111111010000110011110100101111010010101110
17,17,34.74,00001001111101100110110010101100000010111111010000110011110100101111010010001110
18,18,34.74,00001001111101100110110010101100000010111111010000110011110100101111010010101010
19,19,29.74,00001001111101100110110010101100000010111111010000110011110100101111010010001010
20,20,29.74,00001001111101100110110010101100000010111111010000110011110100101111010010001010
21,21,4.05,00001001111101100110110010100100000010111111010000110011110100101111010010001010
22,22,3.65,00001011111101100110110010100100000010111111010001110011110100101111010010001010
23,23,3.65,00001011111101100110110010100100000010111111010001110011110100101111010010001010
24,24,3.65,00001011111101100110110010100100000010111111010001110011110100101111010010001010
25,25,3.65,00001011111101100110110010100100000010111111010001110011110100101111010010001010
26,26,3.65,00001011111101100110110010100100000010111111010001110011110100101111010010001010
27,27,0.0,00001001111101100110110010100100000010111111010001110011110100101111010010001010
