,Epoch,Fitness Value,Individual
0,-1,9182.85,10011110110100101100100010101000000011110100011001010110110011111000110011000110
1,1,5847.64,00011000101101100100110000110101000110111101011001000000110111111000110111010011
2,2,4781.05,00011000111101100110110000100101000110110101011001000000110110111001110111010011
3,3,3431.74,00011001101101100100110010100101000110111101011001000001110110111101110111010001
4,4,2734.19,00110001101101100100110010100101000110111111010001000001110110011101010111010100
5,5,2232.65,00010001101101100110110010100101001110111111010001000001110110101101010011110000
6,6,1571.1,00110001111101100110111010100101001110111111010001000011110110101111010011010001
7,7,1052.5,00010001111101100110111010100101000110111111010001000011110110101111010011010000
8,8,841.07,00110001111101100110110010100101000110111111010001000011110110101111010011010001
9,9,482.67,00010001110101100110110010100100000010111111010001000011110110101111010011010000
10,10,343.64,00000001110101100110110010100100000010111111010001000011110110101111010011110000
11,11,323.25,00000001111101100110110010100100000010111111010001000011110110101111010011111000
12,12,307.67,00000001111101100110110010100100000010111111010001100011110100101111010011111000
13,13,297.68,00000001111101100110110010100100000010111111010001110011110100101111010011111010
14,14,229.65,00001001111101100110110010100100000010111111010001100011110100101111010011011000
15,15,229.65,00001001111101100110110010100100000010111111010001100011110100101111010011011000
16,16,14.99,00001001111101100110110010100100000010111111010001100011110100101111010010011000
17,17,14.99,00001001111101100110110010100100000010111111010001100011110100101111010010011000
18,18,9.99,00001001111101100110110010100100000010111111010001100011110100101111010010001000
19,19,9.99,00001001111101100110110010100100000010111111010001100011110100101111010010001000
20,20,5.12,00001001111101100110110010100100000010111111010001110011110100101111010010001000
21,21,5.12,00001001111101100110110010100100000010111111010001110011110100101111010010001000
22,22,5.12,00001001111101100110110010100100000010111111010001110011110100101111010010001000
23,23,0.0,00001001111101100110110010100100000010111111010001110011110100101111010010001010
