,Epoch,Fitness Value,Individual
0,0,6646.09,01011110110000100001110010111100000110111101011001011110110010101011011100011101
1,1,4269.5,11010100110001101010110010101100000000111101000001000011110010101101001100111111
2,2,2080.9,01000000110101100010110010101100000100111101000001101011110000101111011100111111
3,3,1179.39,01100000110101100000110010100100000100111101010001100011110100101111011000101111
4,4,1027.51,01100000111101100010110010100100000100111101010001100011110100101110011000101011
5,5,689.12,01100010110101100110110010100100000100111101010001100011100100101111011000101111
6,6,540.37,01100010111101100110110010100100000100111101010001100011110100101111011000101111
7,7,467.35,01101010111101100110110010100100000100111101010001100011110100101111011000101111
8,8,368.11,00100010111101100110110010100100000000111101010001100011110100101111011000101111
9,9,293.33,00100011111101100110110010100100000000111111010001100011110100101111011000100011
10,10,238.91,00100010111101100110110010100100000010111111010001100011110100101111011000100111
11,11,142.78,00101011111101100110110010101100000010111111010001100011110100101111011000100011
12,12,142.78,00101011111101100110110010101100000010111111010001100011110100101111011000100011
13,13,137.91,00101011111101100110110010101100000010111111010001110011110100101111011000100011
14,14,108.57,00101001111101100110110010100100000010111111010001110011110100101111011000100011
15,15,100.63,00101001111101100110110010100100000010111111010001100011110100101111010000100011
16,16,89.68,00101001111101100110110010100100000010111111010001110011110100101111010010100011
17,17,84.68,00101001111101100110110010100100000010111111010001110011110100101111010010101011
18,18,77.68,00101001111101100110110010100100000010111111010001110011110100101111010010001010
19,19,77.68,00101001111101100110110010100100000010111111010001110011110100101111010010001010
20,20,12.81,00001001111101100110110010100100000010111111010001110011110100101111011010001010
21,21,0.0,00001001111101100110110010100100000010111111010001110011110100101111010010001010
