,Epoch,Fitness Value,Individual
0,1,6123.55,01001000011101110110110010011111001111110111010001011000110010101101111000011111
1,2,4782.84,01101001111101111110100010101110001110111101000011010000110010001101010000011111
2,3,3604.68,01001000111101110110100010101110001110111101010010011010110010001101010000011111
3,4,2676.38,00101001111101100110100010010111000110111101011000010010110000001101010000011111
4,5,2097.82,01101001111101100110100010010111000110111101011000110011110000001101010000011111
5,6,1190.4,01101001101101100110100010000110000110111101011000110011110100001101010000011111
6,7,687.37,01001000101101100110100010100110000110111101011000110011110100001111010000011111
7,8,300.5,01001001111101100110100010100110000110111101010000110011110100001111010000011111
8,9,267.23,01001001111101100110110010100110000110111101010000100011110100001111010000011111
9,10,191.98,00001001111101100110110010100110000110111101010001100011110100001111010000011111
10,11,155.05,00001001111101100110110010100110000110111111010000100011110100001111010000001011
11,12,49.94,00001001111101100110110010100110000010111111010001100011110100001111010000001011
12,13,19.03,00001001111101100110110010100100000010111111010001100011110100001111010000001011
13,14,17.03,00001001111101100110110010100100000010111111010001100011110100001111010000001010
14,15,17.03,00001001111101100110110010100100000010111111010001100011110100001111010000001010
15,16,6.08,00001001111101100110110010100100000010111111010001110011110100101111010000001010
16,17,6.08,00001001111101100110110010100100000010111111010001110011110100101111010000001010
17,18,6.08,00001001111101100110110010100100000010111111010001110011110100101111010000001010
18,19,0.0,00001001111101100110110010100100000010111111010001110011110100101111010010001010
