,Epoch,Fitness Value,Individual
0,0,6649.45,00101010001101101101110010100101101011111101010000111001010101111011010010110000
1,1,5256.64,00100010011101100101110010101010100010111111001001010011000101111100011110110000
2,2,3831.07,00100010001101100101110010101100101010111111000001010011110101111110011010110000
3,3,2796.47,00100010011101100101110010101100001010111111000000010011110101111110011010110000
4,4,1544.44,00100010001101100100110010101101000010111111000000010011110100111110011010110000
5,5,1300.54,00100011001101100100110010101100000010111111000001010011110100111110011010010001
6,6,867.16,00100011101101100110110010101100000010111111000001010011110100111110011010110001
7,7,713.21,00100011101101100110110010101100000010111111010001010011110100111110011010110001
8,8,640.19,00101011101101100110110010101100000010111111010001010011110100111110011010110001
9,9,492.74,00101011111101100110110010101100000010111111010001010011110100111110011010110001
10,10,278.08,00101011111101100110110010101100000010111111010001010011110100101110011010110001
11,11,144.72,00101011111101100110110010101100000010111111010001010011110100101111011010110001
12,12,141.95,00101011111101100110110010101100000010111111010001110011110100101111011010110001
13,13,70.35,00001011111101100110110010101100000010111111010001110011110100101111011000110001
14,14,51.46,00001011111101100110110010101100000010111111010001110011110100101111010010110001
15,15,25.77,00001011111101100110110010100100000010111111010001110011110100101111010010110001
16,16,20.77,00001011111101100110110010100100000010111111010001110011110100101111010010010001
17,17,17.12,00001001111101100110110010100100000010111111010001110011110100101111010010010001
18,18,12.0,00001001111101100110110010100100000010111111010001110011110100101111010010010011
19,19,10.0,00001001111101100110110010100100000010111111010001110011110100101111010010010010
20,20,10.0,00001001111101100110110010100100000010111111010001110011110100101111010010010010
21,21,5.0,00001001111101100110110010100100000010111111010001110011110100101111010010000010
22,22,5.0,00001001111101100110110010100100000010111111010001110011110100101111010010000010
23,23,5.0,00001001111101100110110010100100000010111111010001110011110100101111010010000010
24,24,5.0,00001001111101100110110010100100000010111111010001110011110100101111010010000010
25,25,5.0,00001001111101100110110010100100000010111111010001110011110100101111010010000010
26,26,5.0,00001001111101100110110010100100000010111111010001110011110100101111010010000010
27,27,0.0,00001001111101100110110010100100000010111111010001110011110100101111010010001010
