,Epoch,Fitness Value,Individual
0,0,7226.94,10111110100101110110100110101000000011111110000001010111110100111100110011100101
1,1,5381.11,10111110101101110110100110101010000010111011000001010011110100111100110011100101
2,2,3712.62,10011010110101100110100010100100000010111100000001001111110111100110011001000110
3,3,2501.34,10011010110101100010100010100100000010111101000001001111110111101110011001000110
4,4,1059.24,10011010111101100110100010100100000010111101000001001011110110101110011001000100
5,5,844.58,10011010111101100110100010100100000010111101000001001011110110101110011000000100
6,6,538.0,10111010111101100110110010100100000010111101010001000011110110101110011000000100
7,7,399.2,00011010111101100110110010100100000010111101010001000011110110101110011010001100
8,8,276.92,00011010111101100110110010100100000010111101010001000011110110101111011000000100
9,9,101.91,00001010111101100110110010100100000010111111010001000011110110101111011000000100
10,10,101.91,00001010111101100110110010100100000010111111010001000011110110101111011000000100
11,11,95.83,00001010111101100110110010100100000010111111010001000011110110101111011010000100
12,12,52.03,00001011111101100110110010100100000010111111010001000011110110101111011010000100
13,13,52.03,00001011111101100110110010100100000010111111010001000011110110101111011010000100
14,14,46.91,00001011111101100110110010100100000010111111010001000011110110101111011010000110
15,15,36.91,00001011111101100110110010100100000010111111010001000011110110101111011010001010
16,16,24.1,00001011111101100110110010100100000010111111010001000011110100101111011010001010
17,17,13.64,00001011111101100110110010100100000010111111010001100011110100101111010010001000
18,18,3.65,00001011111101100110110010100100000010111111010001110011110100101111010010001010
19,19,3.65,00001011111101100110110010100100000010111111010001110011110100101111010010001010
20,20,3.65,00001011111101100110110010100100000010111111010001110011110100101111010010001010
21,21,3.65,00001011111101100110110010100100000010111111010001110011110100101111010010001010
22,22,3.65,00001011111101100110110010100100000010111111010001110011110100101111010010001010
23,23,3.65,00001011111101100110110010100100000010111111010001110011110100101111010010001010
24,24,0.0,00001001111101100110110010100100000010111111010001110011110100101111010010001010
