,Epoch,Fitness Value,Individual
0,1,5769.13,01011000011101110110111010111110001111101111010001111010110110001101111010110111
1,2,4127.02,11111000111101110110110010111110001111111111011001111010110110101101011000111111
2,3,2121.09,11011000101101100110110010111100001010111111011001110001110110101111011000100100
3,4,1132.34,11011000101101100110110010111110000010111111011001110011110110101111011000100100
4,5,427.28,11001001111101100110110010101110000010111111011001110011110110101111011000010101
5,6,425.28,11001001111101100110110010101110000010111111011001110011110110101111011000100100
6,7,267.8,11001001111101100110100010101110000010111111010001110011110110101111011000100100
7,8,183.79,10001001111101100110100010101110000010111111010001110011110100101111011000100100
8,9,143.17,10001001111101100110110010101110000010111111010001000011110100101111011000000110
9,10,67.44,00001001111101100110110010100110000010111111010001000011110100101111011000000110
10,11,49.41,00001001111101100110110010101100000010111111010001000011110100101111010000000110
11,12,44.54,00001001111101100110110010101100000010111111010001010011110100101111010000000110
12,13,40.56,00001001111101100110110010101100000010111111010001100011110100101111010010000110
13,14,14.87,00001001111101100110110010100100000010111111010001100011110100101111010010000110
14,15,14.87,00001001111101100110110010100100000010111111010001100011110100101111010010000110
15,16,14.87,00001001111101100110110010100100000010111111010001100011110100101111010010000110
16,17,9.87,00001001111101100110110010100100000010111111010001100011110100101111010010000010
17,18,8.92,00001001111101100110110010100100000010111111010000100011110100101111010010001010
18,19,4.87,00001001111101100110110010100100000010111111010001100011110100101111010010001010
19,20,4.05,00001001111101100110110010100100000010111111010000110011110100101111010010001010
20,21,4.05,00001001111101100110110010100100000010111111010000110011110100101111010010001010
21,22,0.0,00001001111101100110110010100100000010111111010001110011110100101111010010001010
