,Epoch,Fitness Value,Individual
0,0,6189.53,00001010001001100111111010100100000110110011110100011001000110111010010011100000
1,1,4712.51,00001010111000100110110000110100000110111001110110111001100110111110010010100100
2,2,3480.78,00001000011001100110111010100100000010110001010100011001000110111110010010100000
3,3,3040.01,00001010011001100110110010110100000010111001010100101001100110111110010010100000
4,4,1965.46,00001000111001100110110010100100000010111001010000101001100110101110010010110100
5,5,1385.8,00001000111001100110110010100100000010111001010000101011100110001110010010100100
6,6,860.74,00001000111001100110110010100100000010111101010000100011110100001100010010110100
7,7,254.34,00001000111101100110110010100100000010111101010000100011110100001110010000110100
8,8,204.46,00001001111101100110110010100100000010111101010000100011110100101110010000110100
9,9,168.48,00001001111101100110110010100100000010111111010000100011110100101110010000110000
10,10,35.12,00001001111101100110110010100100000010111111010000100011110100101111010000110000
11,11,35.12,00001001111101100110110010100100000010111111010000100011110100101111010000110000
12,12,26.07,00001001111101100110110010100100000010111111010001100011110100101111010000100000
13,13,19.99,00001001111101100110110010100100000010111111010001100011110100101111010010100000
14,14,19.99,00001001111101100110110010100100000010111111010001100011110100101111010010100000
15,15,14.99,00001001111101100110110010100100000010111111010001100011110100101111010010000000
16,16,9.99,00001001111101100110110010100100000010111111010001100011110100101111010010001000
17,17,9.99,00001001111101100110110010100100000010111111010001100011110100101111010010001000
18,18,9.99,00001001111101100110110010100100000010111111010001100011110100101111010010001000
19,19,9.99,00001001111101100110110010100100000010111111010001100011110100101111010010001000
20,20,9.99,00001001111101100110110010100100000010111111010001100011110100101111010010001000
21,21,9.99,00001001111101100110110010100100000010111111010001100011110100101111010010001000
22,22,4.87,00001001111101100110110010100100000010111111010001100011110100101111010010001010
23,23,4.87,00001001111101100110110010100100000010111111010001100011110100101111010010001010
24,24,4.87,00001001111101100110110010100100000010111111010001100011110100101111010010001010
25,25,4.87,00001001111101100110110010100100000010111111010001100011110100101111010010001010
26,26,4.87,00001001111101100110110010100100000010111111010001100011110100101111010010001010
27,27,4.87,00001001111101100110110010100100000010111111010001100011110100101111010010001010
28,28,4.87,00001001111101100110110010100100000010111111010001100011110100101111010010001010
29,29,0.0,00001001111101100110110010100100000010111111010001110011110100101111010010001010
