,Epoch,Fitness Value,Individual
0,-1,9196.52,11010100110000100010100001111100000100111111010101110100111011101001001100111101
1,1,6707.0,11010001010000100010100001111100000000111111100101110011110001101001001000001110
2,2,4433.81,11010101110000100110100000111100000100110101000101110011110101001001011000101100
3,3,3608.66,11000000011100100110100001101100000000111101010001100010110100101101001011111111
4,4,2045.15,01000001111100100110100000101100000100111101000001110011110100001001011010101101
5,5,1202.25,01000001111100100110100010101100000100111101000001110011110100001101011010100101
6,6,760.66,01000001111101100110100010101100000100111101010001110011110100001101010010101001
7,7,461.51,01000001111101100110100010101100000100111101010001110011110100001111010010101001
8,8,335.47,11001001111101100110100010101100000000111101010001110011110100001111010010101000
9,9,247.06,11001001111101100110100010101100000010111101010001110011110110001111010010101001
10,10,197.02,01001001111101100110100010101100000010111101010001110011110110001111010010101001
11,11,164.04,01001001111101100110100010101100000010111111010001110011110110001111010010101000
12,12,115.09,01001001111101100110110010101100000010111111010001110011110100001111010010101001
13,13,110.09,01001001111101100110110010101100000010111111010001110011110100001111010010001001
14,14,104.97,01001001111101100110110010101100000010111111010001110011110100001111010010001011
15,15,104.97,01001001111101100110110010101100000010111111010001110011110100001111010010001011
16,16,96.89,01001001111101100110110010101100000010111111010001110011110100101111010010001010
17,17,96.89,01001001111101100110110010101100000010111111010001110011110100101111010010001010
18,18,25.69,00001001111101100110110010101100000010111111010001110011110100101111010010001010
19,19,13.92,00001001111101100110110010100100000010111111010000100011110100101111010010011010
20,20,4.05,00001001111101100110110010100100000010111111010000110011110100101111010010001010
21,21,4.05,00001001111101100110110010100100000010111111010000110011110100101111010010001010
22,22,3.65,00001011111101100110110010100100000010111111010001110011110100101111010010001010
23,23,0.0,00001001111101100110110010100100000010111111010001110011110100101111010010001010
