,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,8887.69,12871.549100000004,17137.41,10001110001000101110100010111100101101110100000000111001100111100010010010010111
1,1,5848.46,9340.5771,13702.21,01000010001000100110110011101100101100111100010001110011100111101010010010010101
2,2,3749.38,6640.908699999997,9259.57,01001010011000000110110010101100001100110101011001110011100111101010010010010111
3,3,2777.29,4391.812299999999,6260.08,01001010011100100110110010101100001100111101011001110011100111101010010000010110
4,4,2205.52,3437.4603999999986,6366.58,01001010011100100110110010101100001100111101010001110011100110101010010010010101
5,5,1931.96,2856.3639000000003,5051.75,01001010011101100110110010101100001100111101010001110011100100101010010000010100
6,6,1286.58,2671.669599999998,4913.25,01001010011101100110110010101100001100111101010001110011100110101110010010010110
7,7,670.5,2014.9102000000005,4481.4,01001011011101100110110010101100000100111101010001110011100110101111010010010110
8,8,621.47,1458.9992000000002,3204.65,01001010010101100110110010101100000110111101010001110011100100101111011010000110
9,9,491.08,1374.8612999999996,2868.77,00001011011101100110110010101100000110111101010001110011100110101111010010000110
10,10,255.39,1196.2948000000006,3070.05,01001011111101100110110010101100000110111101010001110011110110101111010010000110
11,11,65.32,853.2131000000002,2269.4,00001011111101100110110010101100000010111101010001110011110100101111010010000010
12,12,53.52,753.4106000000002,3196.84,00001011111101100110110010100100000010111101010001110011110110101111010000001010
13,13,34.63,666.1934,2466.39,00001011111101100110110010100100000010111101010001110011110100101111010010001010
14,14,12.5,852.5860000000002,2954.71,00001011111101100110110010100100000010111111010001010011110100101111010000001010
15,15,0.0,727.2356999999997,2471.03,00001001111101100110110010100100000010111111010001110011110100101111010010001010
