,Epoch,Fitness Value,Individual
0,0,7285.08,01101010101010000111101000000101000010111101011010111000111100101101010100011110
1,1,6035.47,01101010101010000111111000000101000010111101011010111010110100101101010100011110
2,2,4731.99,01101010101010000111111010000101000010111111011000111011110100101101010100010110
3,3,3569.68,01101010101000100110111010000101000010111101011010110010110100101101010110011110
4,4,2714.59,01101010101001100110110010000101000010111101011010110010110100101111010110011110
5,5,2200.96,01101010101001100110110010000101000010111101011010110011100100101111010110011110
6,6,1657.93,01100010100001100110110010000111000010111101011000110011100100001110010010010110
7,7,1318.19,01101010100001100110110010000111000010111101011000110011110100001111010010010110
8,8,994.12,01000010100101100110110010000111000010111101011000110011110100101111010010010110
9,9,571.12,01010010110101100110110010000100000010111101010000110011110100101111010010010110
10,10,427.09,01000010110101100110110010000100000010111101010000110011110100101111010010010110
11,11,378.29,01000011110101100110110010000100000010111101010000110011110100101111010010011110
12,12,219.37,01000011110101100110110010100100000010111101010000110011110100101111010000010110
13,13,75.15,00001011110101100110110010100100000010111101010000110011110100101111010000010110
14,14,69.07,00001011110101100110110010100100000010111101010000110011110100101111010010010110
15,15,69.07,00001011110101100110110010100100000010111101010000110011110100101111010010010110
16,16,38.09,00001011110101100110110010100100000010111111010000110011110100101111010010010110
17,17,23.92,00001001111101100110110010100100000010111111010000100011110100101111010010010110
18,18,22.7,00001011111101100110110010100100000010111111010000110011110100101111010010010110
19,19,17.7,00001011111101100110110010100100000010111111010000110011110100101111010010011110
20,20,10.47,00001011111101100110110010100100000010111111010000010011110100101111010010001010
21,21,7.7,00001011111101100110110010100100000010111111010000110011110100101111010010001010
22,22,3.65,00001011111101100110110010100100000010111111010001110011110100101111010010001010
23,23,0.0,00001001111101100110110010100100000010111111010001110011110100101111010010001010
