,Epoch,Fitness Value,Fitness Mean Value,Individual
0,-1,7991.79,13040.8841,11100001101111100110110110100100000110010101111110011000010100110101001011000110
1,1,5491.62,8550.377799999997,10000001001101000010110100110110000010010111001010000011110110110101000010000101
2,2,4310.31,6293.292699999995,10000001001101100010110110100110000000010111000010000011100110100101000010100111
3,3,3424.86,4965.825500000001,10000011001101100010110110100110000010011111000000000011110110100101000010100101
4,4,2695.24,4062.186700000001,10000001001101100110110010100110000000010111000000000011110110100101000010100101
5,5,2114.5,3387.601499999998,10000001001101100110110010100110000000010111000000000011110110101101000010100101
6,6,1642.02,2775.1286999999998,10000001001101100110110010100110000000110111010000000011110110101101000010100101
7,7,1336.05,2443.869199999999,11001001001101100110110010100110000000110111010000000011110110101111000010101101
8,8,888.12,2010.2285000000006,11000001001101100110110010100100000000110111010000000011110110101111010010101101
9,9,764.88,1632.8977999999997,00000001001101100110110010100100000000110111010000000011110110101111010010101100
10,10,532.79,1478.4351000000001,00000001001101100110110010100100000000111111010001000011110110101111010010101100
11,11,478.66,1300.0657999999996,00001001001101100110110010100100000000111111010001000011110110001111011010101100
12,12,305.13,1274.3339000000005,00001001101101100110110010100100000000111111010001000011110110001111011010101100
13,13,201.91,1123.9048999999998,00001001101101100110110010100100000010111111010001000011110110001111011010101100
14,14,195.83,915.9288,00001001101101100110110010100100000010111111010001000011110110101111011010101100
15,15,48.38,1005.9168000000001,00001001111101100110110010100100000010111111010001000011110110101111011010101100
16,16,35.57,792.1912,00001001111101100110110010100100000010111111010001000011110100101111011010101100
17,17,30.45,973.1017999999999,00001001111101100110110010100100000010111111010001000011110100101111011010101110
18,18,25.58,933.5004999999998,00001001111101100110110010100100000010111111010001010011110100101111011010101110
19,19,25.58,796.2949000000003,00001001111101100110110010100100000010111111010001010011110100101111011010101110
20,20,12.77,786.1833,00001001111101100110110010100100000010111111010001010011110100101111010010101110
21,21,10.0,717.1163,00001001111101100110110010100100000010111111010001110011110100101111010010101110
22,22,5.0,772.8679,00001001111101100110110010100100000010111111010001110011110100101111010010001110
23,23,0.0,668.2670999999999,00001001111101100110110010100100000010111111010001110011110100101111010010001010
