,Epoch,Fitness Value,Individual
0,-1,9196.52,11010100110000100010100001111100000100111111010101110100111011101001001100111101
1,1,5838.76,10110000110001100010100001100100100000111111001001110011110000101001001110101111
2,2,4264.71,10110000010100100110100000100000000000110111000000110011110000111100000100101011
3,3,3185.58,10110000110000100110100010001000000000111111000001010011110100011101000000101101
4,4,2606.68,10010000110000100110100010001100000000111111000001010011110110001101000100101101
5,5,2135.41,10110000110000100110100010001100000000111111010001010011110100001101000000101001
6,6,1713.86,10110000110100100110100010001100000010111111010001010011110100001101000000001001
7,7,1170.61,10111000110100100110100010101100000010111111010001010011110100101111000000101001
8,8,889.1,10100000110100100110100010100100000010111111010001010011010100001111010000000001
9,9,490.67,00100000110101100110110010101100000010110111010001010011110100001111010000000001
10,10,184.95,00000000110101100110110010101100000010111111010001010011110100001111010000000001
11,11,182.95,00000000110101100110110010101100000010111111010001010011110100001111010000000000
12,12,141.15,00000001110101100110110010101100000010111111010001010011110100001111010000000001
13,13,113.46,00000001110101100110110010100100000010111111010001010011110100001111010000000000
14,14,95.3,00000001111101100110110010100100000010111111010001110011110100001111010000000000
15,15,89.22,00000001111101100110110010100100000010111111010001110011110100101111010000000000
16,16,21.2,00001001111101100110110010100100000010111111010001110011110100101111010000000100
17,17,11.08,00001001111101100110110010100100000010111111010001110011110100101111010000000010
18,18,11.08,00001001111101100110110010100100000010111111010001110011110100101111010000000010
19,19,5.0,00001001111101100110110010100100000010111111010001110011110100101111010010000010
20,20,5.0,00001001111101100110110010100100000010111111010001110011110100101111010010000010
21,21,5.0,00001001111101100110110010100100000010111111010001110011110100101111010010000010
22,22,5.0,00001001111101100110110010100100000010111111010001110011110100101111010010000010
23,23,5.0,00001001111101100110110010100100000010111111010001110011110100101111010010000010
24,24,5.0,00001001111101100110110010100100000010111111010001110011110100101111010010000010
25,25,5.0,00001001111101100110110010100100000010111111010001110011110100101111010010000010
26,26,0.0,00001001111101100110110010100100000010111111010001110011110100101111010010001010
