,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,6920.24,12647.780000000002,17323.24,10101111000011000110110000111111101000111101010001100010000100101101010101100111
1,1,6482.65,10961.155200000003,14992.31,00101111100010100110100000101101000010000100010001001011000100101101011100100100
2,2,5247.14,9118.379700000005,12179.99,00111111110011100110110010110111000001111001010001100111100110101101011001100010
3,3,4920.33,7581.870599999998,10277.07,00000001100011100110110000111111100000011101010001100011000100101101010101100110
4,4,3176.41,6537.2459999999965,9049.99,01001010100011100110110000100111000000011101010001100011000100101111011100000100
5,5,3176.41,5778.836700000001,7520.82,01001010100011100110110000100111000000011101010001100011000100101111011100000100
6,6,2801.48,4843.324000000001,7149.12,00111010101001100110110100100101000000111101010001100011000100101111011100000100
7,7,1712.61,3982.1947000000014,6207.72,00001011111001100110110000100101000000111101010001100011000110001111011100100000
8,8,1237.63,3195.5658999999987,4887.48,00001011111001100110101000000110000000111101010001000011110110101111011010110001
9,9,944.71,2508.444900000001,3979.47,00001011111001100110100000000110000000111101010001100011110110101111011000111111
10,10,874.73,1979.5711999999996,2951.3,00101000111001100110100000100110000000111101010001100011110100001111011010000111
11,11,746.57,1633.0288000000003,2919.72,00001011111001100110100000100100000000111101010001000011110110101111011000100111
12,12,746.57,1421.1914,2920.43,00001011111001100110100000100100000000111101010001000011110110101111011000100111
13,13,746.57,1246.4633999999996,2708.36,00001011111001100110100000100100000000111101010001000011110110101111011000100111
14,14,690.62,1189.5897,2387.86,00001011111001100110110000100100000000111101010001000011110100101111011000100011
15,15,681.24,1079.0148000000004,2446.77,00001001111001100110110000100100000000111101010001100011110100101111011010100000
16,16,678.89,1080.8770000000002,2193.6,00001001111001100110110000100100000000111101010001000011110100101111011010100010
17,17,678.89,1046.4081999999999,2211.72,00001001111001100110110000100100000000111101010001000011110100101111011010100010
18,18,671.08,1000.4726000000004,2591.51,00001001111001100110110000100100000000111101010001000011110100101111010010100110
19,19,661.08,973.0895000000002,2335.4,00001001111001100110110000100100000000111101010001000011110100101111010010000010
20,20,661.08,981.7077000000004,1954.53,00001001111001100110110000100100000000111101010001000011110100101111010010000010
21,21,661.08,992.5865000000001,2244.26,00001001111001100110110000100100000000111101010001000011110100101111010010000010
22,22,661.08,894.8523000000002,2323.21,00001001111001100110110000100100000000111101010001000011110100101111010010000010
23,23,661.08,964.6199000000005,2016.2,00001001111001100110110000100100000000111101010001000011110100101111010010000010
24,24,656.08,1003.5849000000002,2140.8,00001001111001100110110000100100000000111101010001000011110100101111010010001010
25,25,656.08,940.9297000000003,2076.77,00001001111001100110110000100100000000111101010001000011110100101111010010001010
26,26,656.08,947.2565000000006,1997.36,00001001111001100110110000100100000000111101010001000011110100101111010010001010
27,27,653.31,994.0033999999998,2137.81,00001001111001100110110000100100000000111101010001100011110100101111010010001010
28,28,653.31,963.3653000000003,2309.03,00001001111001100110110000100100000000111101010001100011110100101111010010001010
29,29,653.31,982.6026000000003,2180.15,00001001111001100110110000100100000000111101010001100011110100101111010010001010
30,30,653.31,1016.5744,2196.46,00001001111001100110110000100100000000111101010001100011110100101111010010001010
