,Epoch,Fitness Value,Fitness Mean Value,Fitness Worst Value,Individual
0,-1,8137.17,12695.957099999998,17000.61,10010101101101101000100010101101101011011001000100000010010110101110111111100111
1,1,6058.43,8679.059199999996,11445.96,00010011101100100100100010011101001010011001000101100010010100101010111001101001
2,2,4499.62,6573.050300000002,9435.62,00010011101101100100100010011101001010011001000101100011010100101110111001101001
3,3,3391.78,5027.305699999998,6579.35,00010011111101100100100010001101000010111011000100100011010100111110110011101001
4,4,2362.24,4132.6272,6280.01,00010011111101100100110010001100000010111011010100000011110100101111110011101001
5,5,2012.32,3202.3086999999996,5682.26,00010011101101100100110010001100000010111011010100000011110100111110010010101001
6,6,1451.04,2764.3344,5332.46,00010011101101100100110010000100000010111011010000000011110100101110010010101001
7,7,1200.92,2297.9073,5177.06,00010011111101100100110010001100000010111011010000000011110100101111010010101101
8,8,966.98,1839.2566999999995,3808.64,00010011111101100110110010001110000010111011010000000011110100101111010010101101
9,9,706.13,1736.1479000000004,4253.52,00010011111101100100110010001100000010111111010001010011110100101111010010100101
10,10,260.01,1518.8635000000006,3801.58,00001011111101100110110010001110000010111111010001000011110100101111010010100101
11,11,254.19,987.3846000000002,2660.42,00001011111101100110110010001110000010111111010000010011110100101111010010101101
12,12,78.14,995.5460999999999,2867.23,00001011111101100110110010101110000010111111010001010011110100101111010010101100
13,13,21.54,934.4122000000002,3382.25,00001011111101100110110010100100000010111111010001010011110100101111010010101100
14,14,21.54,844.0971999999997,2873.22,00001011111101100110110010100100000010111111010001010011110100101111010010101100
15,15,14.77,771.3584000000001,2996.75,00001001111101100110110010100100000010111111010001010011110100101111010010101111
16,16,9.77,767.0101000000001,2755.45,00001001111101100110110010100100000010111111010001010011110100101111010010001111
17,17,9.77,767.4269000000005,2671.8,00001001111101100110110010100100000010111111010001010011110100101111010010001111
18,18,4.77,774.4096999999998,3468.61,00001001111101100110110010100100000010111111010001010011110100101111010010001011
19,19,4.77,722.3713000000002,2625.45,00001001111101100110110010100100000010111111010001010011110100101111010010001011
20,20,4.77,845.4891999999999,2934.94,00001001111101100110110010100100000010111111010001010011110100101111010010001011
21,21,2.77,790.5781,2867.36,00001001111101100110110010100100000010111111010001010011110100101111010010001010
22,22,2.77,805.1370000000003,2908.72,00001001111101100110110010100100000010111111010001010011110100101111010010001010
23,23,2.77,677.0877,2755.26,00001001111101100110110010100100000010111111010001010011110100101111010010001010
24,24,2.77,781.4688999999997,2793.77,00001001111101100110110010100100000010111111010001010011110100101111010010001010
25,25,2.77,847.4194000000003,3600.05,00001001111101100110110010100100000010111111010001010011110100101111010010001010
26,26,2.77,785.5617000000004,2993.11,00001001111101100110110010100100000010111111010001010011110100101111010010001010
27,27,2.77,735.9103000000001,3369.0,00001001111101100110110010100100000010111111010001010011110100101111010010001010
28,28,2.77,913.2438999999999,2551.09,00001001111101100110110010100100000010111111010001010011110100101111010010001010
29,29,2.77,767.7892000000002,2630.25,00001001111101100110110010100100000010111111010001010011110100101111010010001010
30,30,2.77,843.4361999999996,3092.89,00001001111101100110110010100100000010111111010001010011110100101111010010001010
31,31,2.77,734.0754999999999,3066.17,00001001111101100110110010100100000010111111010001010011110100101111010010001010
32,32,2.77,874.3452999999998,3171.29,00001001111101100110110010100100000010111111010001010011110100101111010010001010
33,33,0.0,733.2185999999996,2258.05,00001001111101100110110010100100000010111111010001110011110100101111010010001010
